id,ra,dec
0000112,    14.064184,    40.571516
0000113,    13.772375,    40.532677
0000114,    14.232577,    42.001392
0000115,    13.803649,    40.797071
0000116,    14.179386,    41.631050
0000117,    14.833632,    40.650520
0000118,    14.157965,    41.340389
0000119,    13.766046,    40.985861
0000120,    15.186345,    41.304614
0000121,    14.044338,    42.178061
0000122,    13.896739,    41.096745
0000123,    13.924327,    41.795188
0000124,    14.274460,    41.040626
0000125,    14.727857,    41.281066
0000126,    15.005091,    40.703127
0000127,    14.352429,    41.893052
0000128,    13.392998,    40.808400
0000129,    14.351489,    42.085801
0000130,    14.309551,    41.017511
0000131,    14.427370,    40.767822
0000132,    14.727123,    40.612375
0000133,    14.395112,    40.803084
0000134,    13.833793,    41.871019
0000135,    14.519881,    41.405920
0000136,    14.380406,    40.458822
0000137,    14.132568,    41.823356
0000138,    13.927950,    42.170974
0000139,    13.606932,    41.509875
0000140,    14.548626,    41.881721
0000141,    14.564928,    41.068899
0000142,    14.156813,    40.818365
0000143,    14.950301,    41.362370
0000144,    13.517074,    41.096582
0000145,    14.329705,    42.128216
0000146,    14.677710,    41.281696
0000147,    14.638195,    40.709494
0000148,    14.311342,    41.619518
0000149,    14.099549,    42.079406
0000150,    14.259812,    40.652768
0000151,    13.675754,    40.544464
0000152,    13.590639,    41.406652
0000153,    13.658022,    40.632807
0000154,    13.535931,    41.475538
0000155,    13.667521,    42.017544
0000156,    14.583059,    41.157468
0000157,    14.481122,    40.395973
0000158,    13.295134,    40.951537
0000159,    13.458029,    41.266478
0000160,    13.378453,    40.884762
0000161,    13.701961,    41.052103
0000162,    14.065766,    40.983293
0000163,    14.045387,    41.944387
0000164,    14.647838,    41.229276
0000165,    14.805212,    41.696474
0000166,    14.819306,    41.274007
0000167,    14.739554,    42.099535
0000168,    14.867030,    40.952214
0000169,    13.518559,    40.795408
0000170,    14.983822,    41.853515
0000171,    14.139092,    40.333858
0000172,    13.943838,    41.122836
0000173,    14.419470,    41.047271
0000174,    15.209801,    41.164411
0000175,    14.949910,    40.645658
0000176,    14.579410,    40.627913
0000177,    13.913189,    42.162230
0000178,    14.338166,    40.924537
0000179,    13.523393,    41.862605
0000180,    14.456391,    42.024742
0000181,    13.646069,    41.071152
0000182,    14.529657,    41.456831
0000183,    14.629078,    41.308240
0000184,    14.509979,    42.131732
0000185,    14.558900,    40.916558
0000186,    14.523389,    41.930449
0000187,    14.652604,    40.679704
0000188,    14.746300,    40.846726
0000189,    13.589192,    41.056979
0000190,    14.335131,    41.855757
0000191,    14.100985,    42.004602
0000192,    14.928723,    41.182120
0000193,    13.384673,    41.213847
0000194,    13.638911,    41.483984
0000195,    14.417774,    42.024228
0000196,    14.577399,    40.756402
0000197,    13.518295,    41.309311
0000198,    14.505123,    41.904790
0000199,    14.390456,    40.411264
0000200,    14.481322,    41.007487
0000201,    14.686810,    42.095673
0000202,    14.145789,    40.375758
0000203,    14.903919,    41.944682
0000204,    14.032990,    40.703777
0000205,    13.717865,    41.468194
0000206,    14.217373,    40.503092
0000207,    14.670379,    40.456353
0000208,    15.167053,    41.148076
0000209,    14.341683,    41.225118
0000210,    13.836138,    41.425475
0000211,    14.831586,    41.759103
0000212,    14.696283,    41.487130
0000213,    13.413573,    41.109491
0000214,    14.809908,    41.897428
0000215,    14.881776,    40.995326
0000216,    13.609760,    41.600257
0000217,    13.740518,    41.449885
0000218,    14.926758,    41.524230
0000219,    13.772899,    40.482525
0000220,    14.848951,    41.679135
0000221,    13.320248,    41.352943
0000222,    14.592851,    40.663475
0000223,    14.272675,    40.991784
0000224,    13.413580,    40.981871
0000225,    15.107229,    41.124980
0000226,    14.284830,    40.325982
0000227,    13.607883,    40.921242
0000228,    13.471290,    41.812612
0000229,    14.864063,    41.897792
0000230,    14.372099,    42.213366
0000231,    14.940300,    41.032318
0000232,    14.988075,    41.486165
0000233,    13.841560,    40.687221
0000234,    14.456962,    41.343927
0000235,    14.976817,    41.240473
0000236,    13.990997,    41.227300
0000237,    14.806681,    40.871024
0000238,    14.416427,    40.358468
0000239,    14.095097,    40.951389
0000240,    13.479224,    41.544057
0000241,    14.927540,    40.789620
0000242,    13.902092,    41.212462
0000243,    13.902702,    41.351522
0000244,    13.742874,    41.835255
0000245,    13.268434,    40.967744
0000246,    15.076613,    41.635130
0000247,    14.880334,    41.015720
0000248,    13.972060,    41.950859
0000249,    14.303905,    42.181561
0000250,    13.759993,    41.268136
0000251,    13.538552,    40.968228
0000252,    13.312121,    41.274163
0000253,    14.307623,    41.116063
0000254,    14.918673,    40.799998
0000255,    14.471101,    41.073039
0000256,    14.786675,    42.012371
0000257,    14.213987,    42.249444
0000258,    14.964280,    41.725045
0000259,    14.938448,    41.112679
0000260,    13.815404,    41.892493
0000261,    13.997601,    41.880210
0000262,    14.647501,    41.080660
0000263,    13.628211,    40.959032
0000264,    14.901411,    40.909881
0000265,    15.002168,    41.774843
0000266,    14.145127,    40.357282
0000267,    14.798931,    40.643499
0000268,    14.429152,    40.411100
0000269,    13.903619,    40.542008
0000270,    13.255685,    41.203929
0000271,    14.828696,    41.436261
0000272,    14.364977,    41.846417
0000273,    14.125138,    40.570908
0000274,    14.294308,    42.215716
0000275,    14.580736,    41.153544
0000276,    15.152083,    41.485018
0000277,    14.852871,    41.304218
0000278,    13.675391,    40.885415
0000279,    13.669892,    41.389188
0000280,    13.477480,    41.023519
0000281,    15.108694,    40.932942
0000282,    14.753973,    41.781896
0000283,    15.108318,    41.581780
0000284,    14.443558,    40.298142
0000285,    14.115418,    41.437857
0000286,    14.836316,    41.350749
0000287,    14.682258,    42.135103
0000288,    14.594512,    41.853869
0000289,    13.749849,    40.403301
0000290,    13.467344,    41.392184
0000291,    13.401746,    41.322385
0000292,    13.976950,    41.933627
0000293,    14.552482,    41.987117
0000294,    13.367383,    41.613175
0000295,    13.738456,    40.854290
0000296,    13.483165,    41.645105
0000297,    14.321067,    41.896720
0000298,    14.333704,    41.194253
0000299,    14.909368,    41.192152
0000300,    13.888527,    41.034775
0000301,    13.837272,    41.340085
0000302,    13.818356,    41.058170
0000303,    14.936081,    40.642691
0000304,    14.936021,    40.603856
0000305,    14.736880,    40.478293
0000306,    13.459762,    40.950106
0000307,    14.871684,    41.627981
0000308,    13.402053,    41.464528
0000309,    14.408660,    40.413581
0000310,    14.965996,    41.303342
0000311,    14.684483,    41.726107
0000312,    13.487263,    41.303715
0000313,    14.511158,    40.574457
0000314,    13.256195,    41.371658
0000315,    13.557703,    41.478936
0000316,    14.702269,    42.080964
0000317,    15.015625,    41.100240
0000318,    14.785903,    40.749819
0000319,    14.827500,    41.621929
0000320,    13.529336,    41.916048
0000321,    14.107138,    40.714986
0000322,    13.376806,    41.544081
0000323,    14.061806,    42.062640
0000324,    15.079187,    41.052610
0000325,    13.745518,    41.599834
0000326,    13.794681,    41.101779
0000327,    15.104223,    40.831878
0000328,    13.789898,    41.336323
0000329,    14.397524,    40.485615
0000330,    14.125378,    41.565529
0000331,    14.202152,    40.662114
0000332,    14.441256,    40.879268
0000333,    13.847668,    40.788034
0000334,    14.182884,    40.482432
0000335,    14.898700,    41.918291
0000336,    13.933511,    40.770600
0000337,    14.012323,    40.440304
0000338,    13.450800,    41.860745
0000339,    14.652725,    40.852553
0000340,    14.390438,    40.369502
0000341,    14.278101,    41.650795
0000342,    14.548318,    40.583691
0000343,    13.820565,    40.936978
0000344,    13.758638,    40.971521
0000345,    14.464849,    41.826765
0000346,    14.788688,    40.951060
0000347,    13.632828,    41.266636
0000348,    14.637598,    41.560912
0000349,    14.440499,    41.516132
0000350,    14.382002,    41.434549
0000351,    14.697943,    41.031598
0000352,    13.709548,    40.431111
0000353,    14.523621,    42.211642
0000354,    13.977869,    41.914049
0000355,    14.409965,    40.613968
0000356,    14.260653,    41.769875
0000357,    15.000898,    40.884504
0000358,    14.827118,    40.805212
0000359,    13.954776,    41.254675
0000360,    14.657520,    40.517299
0000361,    15.123362,    41.240977
0000362,    14.380084,    40.901970
0000363,    14.386115,    41.305080
0000364,    14.745918,    42.107201
0000365,    14.546119,    41.946060
0000366,    13.638331,    41.837053
0000367,    14.369624,    40.942130
0000368,    13.421233,    40.836514
0000369,    13.682024,    40.628193
0000370,    13.436134,    41.143640
0000371,    14.585872,    41.748262
0000372,    14.440181,    41.024046
0000373,    14.595715,    41.277340
0000374,    13.466029,    40.773099
0000375,    13.741523,    41.945219
0000376,    14.096094,    42.151663
0000377,    13.978469,    40.466732
0000378,    13.947822,    41.888438
0000379,    14.277140,    41.945634
0000380,    14.363046,    40.564879
0000381,    14.185548,    41.291691
0000382,    14.644602,    41.520052
0000383,    14.607802,    41.297340
0000384,    14.554021,    40.927192
0000385,    13.941514,    40.651738
0000386,    14.590601,    40.521917
0000387,    14.439183,    42.096778
0000388,    14.709715,    42.050617
0000389,    14.986183,    41.513943
0000390,    14.122842,    40.647870
0000391,    14.807741,    40.949883
0000392,    14.467982,    40.791747
0000393,    14.053188,    42.171225
0000394,    15.006003,    40.891861
0000395,    13.871435,    41.663815
0000396,    13.998472,    41.099995
0000397,    13.564420,    41.981739
0000398,    14.479958,    41.427839
0000399,    13.316945,    41.651646
0000400,    13.358828,    41.422614
0000401,    14.849807,    41.385401
0000402,    14.022753,    42.010624
0000403,    14.056152,    40.958281
0000404,    14.666850,    41.838948
0000405,    13.297926,    41.211661
0000406,    14.746487,    41.833904
0000407,    14.145249,    40.742351
0000408,    14.894698,    40.822896
0000409,    14.303208,    41.168911
0000410,    14.877505,    41.046938
0000411,    14.302641,    41.562525
0000412,    14.690472,    41.296780
0000413,    14.976525,    41.562436
0000414,    13.426317,    40.687204
0000415,    13.540637,    40.991386
0000416,    13.845917,    41.366439
0000417,    15.094125,    41.159818
0000418,    13.697989,    41.215846
0000419,    13.693863,    42.038947
0000420,    13.866291,    40.533394
0000421,    13.993981,    40.629364
0000422,    13.767063,    41.084799
0000423,    14.557567,    41.844456
0000424,    14.890193,    41.728339
0000425,    14.809344,    41.336322
0000426,    14.864868,    41.720877
0000427,    14.988771,    41.620138
0000428,    14.366705,    42.083714
0000429,    13.437231,    41.846821
0000430,    14.662399,    42.019179
0000431,    14.602489,    42.142226
0000432,    13.395231,    41.456611
0000433,    14.468520,    41.457998
0000434,    14.162657,    40.993183
0000435,    13.934456,    41.147551
0000436,    13.479588,    41.598146
0000437,    13.362156,    41.244575
0000438,    14.193768,    41.197377
0000439,    14.844341,    40.931670
0000440,    13.831599,    41.099187
0000441,    14.549985,    41.468725
0000442,    13.646688,    41.641362
0000443,    13.399870,    41.179152
0000444,    13.350743,    40.983499
0000445,    14.458683,    41.999311
0000446,    14.003967,    41.337107
0000447,    14.235320,    42.008584
0000448,    14.352920,    41.587454
0000449,    13.929144,    42.184464
0000450,    14.455656,    40.483053
0000451,    13.814929,    42.076170
0000452,    14.898847,    40.585013
0000453,    14.332375,    41.430596
0000454,    13.896752,    41.053506
0000455,    13.689992,    40.692449
0000456,    14.064888,    41.993425
0000457,    15.015415,    40.700943
0000458,    14.183402,    41.659211
0000459,    13.920862,    41.236785
0000460,    13.617339,    41.746204
0000461,    13.325094,    41.232409
0000462,    13.551110,    41.332503
0000463,    15.079236,    40.945769
0000464,    13.395097,    41.709384
0000465,    13.827306,    41.127021
0000466,    14.017130,    41.271234
0000467,    14.105935,    40.925864
0000468,    13.807982,    42.071012
0000469,    14.303262,    40.811219
0000470,    14.163981,    41.326757
0000471,    13.777280,    41.774600
0000472,    14.207767,    41.096490
0000473,    14.566409,    40.337266
0000474,    14.494152,    41.663088
0000475,    14.762279,    40.570816
0000476,    15.085305,    41.359887
0000477,    13.259318,    41.118448
0000478,    13.617756,    41.168884
0000479,    13.610038,    41.550203
0000480,    14.192167,    40.580514
0000481,    14.531807,    42.169945
0000482,    13.439120,    41.199338
0000483,    13.648652,    41.655736
0000484,    14.877147,    41.813095
0000485,    13.303784,    41.561481
0000486,    14.061326,    41.368419
0000487,    15.178126,    41.538276
0000488,    14.602998,    42.055753
0000489,    14.677919,    41.052524
0000490,    14.177088,    42.034296
0000491,    15.020614,    41.188291
0000492,    14.371962,    42.064850
0000493,    14.996352,    40.964296
0000494,    14.673192,    40.602798
0000495,    14.082711,    42.086881
0000496,    14.107851,    40.688435
0000497,    13.688086,    41.687058
0000498,    14.437456,    40.688988
0000499,    14.697656,    41.725092
0000500,    14.359128,    41.313737
0000501,    15.148427,    41.406464
0000502,    14.112813,    40.401435
0000503,    13.983393,    42.134625
0000504,    13.520834,    41.882834
0000505,    13.662519,    42.079988
0000506,    15.057351,    41.143064
0000507,    13.379228,    41.480571
0000508,    13.913604,    40.893664
0000509,    13.802017,    40.665003
0000510,    13.562650,    41.430277
0000511,    14.036001,    41.781487
0000512,    14.491436,    41.367868
0000513,    13.599459,    40.510916
0000514,    14.748153,    40.556650
0000515,    14.006318,    42.202852
0000516,    14.275939,    41.625368
0000517,    14.500436,    40.436235
0000518,    13.581303,    40.665363
0000519,    14.889447,    41.644899
0000520,    13.496860,    41.261951
0000521,    14.151304,    41.247932
0000522,    14.312846,    42.254236
0000523,    13.863339,    41.438413
0000524,    14.124781,    41.034325
0000525,    14.229928,    40.454412
0000526,    14.579603,    40.342601
0000527,    14.180911,    41.631731
0000528,    14.319473,    41.651828
0000529,    14.923211,    41.165166
0000530,    15.013204,    40.702810
0000531,    14.993179,    41.017068
0000532,    13.978250,    41.692755
0000533,    13.859042,    41.610504
0000534,    14.307893,    40.638382
0000535,    14.538086,    40.630010
0000536,    13.535734,    41.083548
0000537,    13.390836,    41.451577
0000538,    14.861953,    41.627639
0000539,    14.649963,    41.655703
0000540,    13.729354,    41.756592
0000541,    13.644310,    40.474399
0000542,    14.355711,    40.957166
0000543,    13.714844,    41.497409
0000544,    13.838098,    40.960401
0000545,    15.194263,    41.248724
0000546,    13.927442,    42.005687
0000547,    13.980578,    41.128869
0000548,    14.293637,    41.488352
0000549,    13.238817,    41.429593
0000550,    13.861669,    40.888762
0000551,    14.513622,    41.798713
0000552,    14.283087,    42.090770
0000553,    14.367179,    41.348311
0000554,    13.730460,    40.398835
0000555,    14.781049,    40.987778
0000556,    13.545092,    41.977750
0000557,    14.063576,    41.661715
0000558,    13.915485,    41.596047
0000559,    13.635816,    40.522291
0000560,    14.735476,    41.611862
0000561,    15.072294,    41.108391
0000562,    13.913849,    41.991434
0000563,    14.356051,    41.417495
0000564,    14.996042,    41.788603
0000565,    13.239248,    41.123795
0000566,    14.929512,    41.660635
0000567,    13.398833,    40.995570
0000568,    14.687540,    41.372740
0000569,    14.962745,    41.382972
0000570,    13.987351,    41.447977
0000571,    13.302546,    41.123610
0000572,    13.817603,    42.057255
0000573,    13.655120,    41.686009
0000574,    13.980857,    42.120584
0000575,    14.919613,    41.666179
0000576,    13.634955,    41.966128
0000577,    14.211224,    42.139972
0000578,    13.435297,    40.654034
0000579,    14.235886,    41.465240
0000580,    14.405287,    41.837671
0000581,    14.111188,    41.188301
0000582,    13.984415,    41.842547
0000583,    13.685558,    41.540314
0000584,    13.557851,    40.734196
0000585,    14.426664,    40.442842
0000586,    14.662672,    40.409964
0000587,    13.601916,    40.627651
0000588,    13.709366,    42.023810
0000589,    13.704679,    41.175399
0000590,    13.420929,    41.086844
0000591,    14.076598,    40.434043
0000592,    14.732618,    41.129945
0000593,    13.396932,    41.659539
0000594,    13.794621,    41.934161
0000595,    13.370885,    41.338940
0000596,    14.663702,    40.623193
0000597,    14.618533,    40.966797
0000598,    14.691289,    42.025276
0000599,    13.441770,    40.689351
0000600,    14.268188,    40.793129
0000601,    14.153376,    40.830998
0000602,    14.979187,    40.991875
0000603,    14.826793,    40.636841
0000604,    14.076740,    40.630418
0000605,    14.479327,    40.534844
0000606,    13.559266,    41.563242
0000607,    13.525025,    40.557240
0000608,    14.650509,    40.982467
0000609,    14.851023,    41.371896
0000610,    13.426592,    41.059832
0000611,    13.882531,    42.067206
0000612,    14.435647,    40.991402
0000613,    13.622167,    40.937993
0000614,    14.416479,    41.943119
0000615,    14.810674,    41.939384
0000616,    14.175598,    41.956842
0000617,    14.892136,    40.640912
0000618,    13.918538,    41.318394
0000619,    14.228289,    41.907820
0000620,    14.154457,    41.539349
0000621,    15.061519,    40.826591
0000622,    13.798558,    41.943210
0000623,    14.865217,    41.086054
0000624,    13.930784,    40.875531
0000625,    14.592436,    40.540438
0000626,    13.802075,    41.893648
0000627,    13.545608,    41.559407
0000628,    14.096148,    40.802580
0000629,    14.235625,    40.419666
0000630,    13.547306,    41.906610
0000631,    14.710515,    41.372400
0000632,    14.633627,    40.921832
0000633,    14.359751,    41.561176
0000634,    14.077249,    40.672607
0000635,    14.808338,    41.895129
0000636,    15.029852,    41.064473
0000637,    14.975634,    40.868745
0000638,    14.188872,    42.196245
0000639,    14.960549,    41.124590
0000640,    14.863335,    41.221948
0000641,    13.396777,    41.644134
0000642,    14.806086,    41.095658
0000643,    14.517137,    40.639628
0000644,    14.497648,    40.352223
0000645,    14.227828,    40.612432
0000646,    14.310728,    41.876571
0000647,    13.884682,    41.273978
0000648,    13.502836,    40.673989
0000649,    13.408755,    41.594490
0000650,    13.715382,    40.715782
0000651,    13.275575,    40.990566
0000652,    13.526782,    41.156469
0000653,    13.325188,    41.360936
0000654,    14.147440,    41.965521
0000655,    14.297398,    40.566691
0000656,    14.995516,    41.443718
0000657,    14.935997,    40.696867
0000658,    14.643306,    41.689759
0000659,    14.133452,    41.727187
0000660,    14.587734,    40.573720
0000661,    13.584600,    42.024212
0000662,    13.657257,    41.496825
0000663,    15.187976,    41.097992
0000664,    14.319629,    41.195495
0000665,    14.067356,    41.120989
0000666,    13.501438,    40.861896
0000667,    13.981857,    42.131000
0000668,    14.498216,    41.098979
0000669,    13.586987,    42.015938
0000670,    14.071098,    40.719691
0000671,    14.726374,    40.436732
0000672,    14.683019,    41.465373
0000673,    13.619550,    40.628576
0000674,    14.936116,    41.133353
0000675,    14.977422,    41.822209
0000676,    14.881896,    40.902697
0000677,    14.236925,    41.275968
0000678,    13.446659,    41.125735
0000679,    14.854988,    41.109689
0000680,    14.248040,    41.503351
0000681,    13.994766,    41.025874
0000682,    14.414874,    40.804504
0000683,    14.660681,    41.661528
0000684,    15.036716,    41.633555
0000685,    13.953155,    42.121119
0000686,    13.966808,    40.414861
0000687,    13.815946,    40.994643
0000688,    14.814181,    40.498080
0000689,    14.344734,    40.680667
0000690,    14.236079,    41.794267
0000691,    14.012704,    41.804577
0000692,    14.831927,    41.789701
0000693,    13.893183,    41.700300
0000694,    14.072820,    40.734111
0000695,    13.295328,    41.148715
0000696,    14.172531,    41.346609
0000697,    15.094642,    41.573530
0000698,    13.490205,    41.146399
0000699,    13.959511,    41.709116
0000700,    13.943514,    41.159536
0000701,    14.882249,    41.478873
0000702,    15.174715,    41.059370
0000703,    14.479811,    41.565563
0000704,    14.359180,    41.986490
0000705,    14.042390,    41.315057
0000706,    14.354500,    42.104600
0000707,    13.619586,    41.384556
0000708,    14.419428,    41.678643
0000709,    14.577311,    41.642890
0000710,    13.662890,    40.453886
0000711,    13.584315,    40.690242
0000712,    14.655409,    40.940611
0000713,    14.713722,    41.811767
0000714,    14.753643,    40.572386
0000715,    15.006254,    41.294373
0000716,    13.777271,    40.520281
0000717,    14.281976,    42.206296
0000718,    14.283824,    41.277787
0000719,    13.717734,    41.997736
0000720,    14.553821,    41.548693
0000721,    14.873821,    41.304771
0000722,    14.628232,    41.135548
0000723,    13.733201,    40.573377
0000724,    14.164923,    40.653538
0000725,    15.029318,    41.496876
0000726,    14.107115,    41.262230
0000727,    14.686356,    40.505371
0000728,    14.558267,    41.114920
0000729,    14.541982,    40.591727
0000730,    14.567122,    40.702819
0000731,    13.879470,    40.755387
0000732,    13.787971,    40.418905
0000733,    13.759870,    41.483583
0000734,    13.974075,    42.155436
0000735,    13.800227,    41.203404
0000736,    14.941372,    41.342222
0000737,    14.197534,    42.250344
0000738,    14.356105,    40.611134
0000739,    14.253390,    41.410070
0000740,    15.071159,    41.062814
0000741,    13.546809,    40.631504
0000742,    14.999831,    41.459915
0000743,    14.594345,    40.586960
0000744,    13.746873,    41.595927
0000745,    14.477454,    42.003267
0000746,    13.395488,    41.350026
0000747,    13.524281,    41.458941
0000748,    14.430574,    41.076805
0000749,    13.642383,    40.815465
0000750,    14.541193,    41.477532
0000751,    14.299518,    41.028093
0000752,    14.340987,    40.939229
0000753,    13.852596,    41.273549
0000754,    14.614906,    41.860412
0000755,    14.325486,    41.019723
0000756,    14.036395,    41.103926
0000757,    13.493903,    41.763065
0000758,    14.326440,    40.754272
0000759,    13.469050,    41.154861
0000760,    15.035552,    40.823433
0000761,    14.686735,    41.751679
0000762,    14.049865,    42.205449
0000763,    14.696264,    41.476859
0000764,    14.918761,    40.601813
0000765,    14.888136,    40.893312
0000766,    15.189510,    41.207319
0000767,    14.501269,    40.461892
0000768,    13.634724,    41.445444
0000769,    13.560934,    41.317940
0000770,    13.630481,    40.810183
0000771,    13.760550,    41.385128
0000772,    13.304925,    41.487062
0000773,    14.640049,    40.387969
0000774,    13.635219,    41.218485
0000775,    15.020789,    41.274958
0000776,    14.356383,    41.827147
0000777,    14.229657,    40.824148
0000778,    14.553181,    41.456895
0000779,    14.157822,    41.729993
0000780,    14.340503,    41.250833
0000781,    13.654050,    40.461398
0000782,    15.173233,    41.267800
0000783,    14.018370,    40.907738
0000784,    13.573239,    40.846788
0000785,    14.432028,    42.143556
0000786,    14.515868,    40.449782
0000787,    14.103920,    41.475719
0000788,    14.307095,    42.225553
0000789,    14.069454,    42.168855
0000790,    14.509597,    41.137270
0000791,    13.441753,    40.949385
0000792,    14.828362,    41.526207
0000793,    15.024550,    40.889579
0000794,    14.544918,    41.340887
0000795,    14.278391,    42.196844
0000796,    13.685116,    41.639348
0000797,    13.376002,    41.481787
0000798,    13.753302,    41.860012
0000799,    14.413351,    42.155851
